Room Number,Room Type,Capacity,Status
L501,Lec,,Available
L501,Lec,,Available
L501,Lab,,Available
Accreditation Room,Lec,,Available
Accreditation Room,Lab,,Available
Accreditation Room,Lec,,Available
Accreditation Room,Lec,,Available
Accreditation Room,Lec,,Available
Accreditation Room,Lab,,Available
Accreditation Room,Lab,,Available
AVR,Lab,,Available
AVR,Lab,,Available
AVR,Lab,,Available
AVR,Lab,,Available
AVR,Lab,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C111,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C112,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C211,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C212,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lab,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C213,Lec,,Available
C214,Lec,,Available
C214,Lab,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C214,Lec,,Available
C311,Lec,,Available
C311,Lec,,Available
C311,Lec,,Available
C311,Lec,,Available
C311,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C312,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C313,Lec,,Available
C314,Lec,,Available
C314,Lec,,Available
C314,Lec,,Available
C314,Lec,,Available
C314,Lec,,Available
C314,Lec,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lec,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lab,,Available
C411,Lec,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C412,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C413,Lab,,Available
C414,Lab,,Available
C414,Lab,,Available
C414,Lab,,Available
C414,Lab,,Available
C414,Lab,,Available
C415,Lab,,Available
C415,Lab,,Available
C415,Lab,,Available
C415,Lab,,Available
C415,Lec,,Available
C415,Lab,,Available
C415,Lab,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
CISCO,Lab,,Available
CISCO,Lec,,Available
CISCO,Lec,,Available
CISCO,Lab,,Available
L101,Lec,,Available
L101,Lec,,Available
L202,Lec,,Available
L301,Lec,,Available
L301,Lec,,Available
L401,Lec,,Available
L401,Lec,,Available
L402,Lec,,Available
L402,Lec,,Available
L501,Lec,,Available
L501,Lab,,Available
L501,Lec,,Available
L501,Lab,,Available
L501,Lab,,Available
L501,Lab,,Available
R121,Lec,,Available
R121,Lec,,Available
R121,Lec,,Available
R121,Lec,,Available
R121,Lec,,Available
R121,Lec,,Available
R121,Lec,,Available
R122,Lec,,Available
R122,Lec,,Available
R122,Lec,,Available
R122,Lec,,Available
R122,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R222,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lab,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R321,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R322,Lec,,Available
R421,Lec,,Available
R421,Lab,,Available
R421,Lab,,Available
R421,Lab,,Available
R421,Lec,,Available
R421,Lab,,Available
R421,Lec,,Available
R421,Lab,,Available
R421,Lab,,Available
R421,Lab,,Available
R421,Lec,,Available
R421,Lab,,Available
R421,Lab,,Available
R421,Lab,,Available
R422,Lab,,Available
R422,Lab,,Available
R422,Lab,,Available
R422,Lec,,Available
R422,Lab,,Available
R422,Lec,,Available
R422,Lab,,Available
R422,Lec,,Available
R422,Lab,,Available
R422,Lec,,Available
R422,Lec,,Available
